"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"25","Less Than High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"26","Bachelors Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Average"
"27","Graduate Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"28","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"29","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"30","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"31","Less Than High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"32","Associate / Junior College","Very Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"33","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"34","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Average"
"35","Less Than High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"36","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"37","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"38","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"39","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"40","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Average"
"41","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Above Average"
"42","Bachelors Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"43","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"44","Bachelors Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"45","Graduate Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"46","Less Than High School","Very Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"47","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"48","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"49","Graduate Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"50","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"51","Less Than High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"52","Bachelors Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"53","Bachelors Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"54","Associate / Junior College","A Little Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"55","Associate / Junior College","Very Dissatisfied","Working Class","More or Less Satisfied","Average"
"56","Less Than High School","Very Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"57","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"58","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"59","Bachelors Degree","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"60","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"61","Associate / Junior College","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"62","Graduate Degree","Very Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"63","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"64","High School","Moderately Satisfied","Working Class","More or Less Satisfied","Below Average"
"65","Graduate Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"66","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"67","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"68","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"69","Less Than High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Below Average"
"70","Associate / Junior College","A Little Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"71","Bachelors Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"72","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Average"
"73","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"74","Less Than High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"75","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"76","Graduate Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"77","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"78","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"79","Bachelors Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"80","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"81","Bachelors Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"82","Associate / Junior College","Very Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"83","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"84","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"85","Less Than High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"86","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"87","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"88","Bachelors Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"89","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"90","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"91","Graduate Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"92","Bachelors Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"93","Bachelors Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"94","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"95","Less Than High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"96","Less Than High School","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"97","Less Than High School","Moderately Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"98","Associate / Junior College","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"99","Bachelors Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"100","Graduate Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"101","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"102","Associate / Junior College","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"103","High School","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"104","Less Than High School","Very Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"105","Graduate Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"106","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"107","High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"108","High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"109","Bachelors Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Average"
"110","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Average"
"111","Less Than High School","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"112","Bachelors Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"113","Less Than High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"114","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"115","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"116","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"117","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"118","Less Than High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"119","Less Than High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Average"
"120","Associate / Junior College","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"121","Bachelors Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"122","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"123","Less Than High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"124","High School","Moderately Satisfied","Working Class","Not Satisfied at All","Below Average"
"125","Bachelors Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Below Average"
"126","Associate / Junior College","Very Dissatisfied","Working Class","More or Less Satisfied","Average"
"127","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"128","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"129","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"130","High School","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"131","Graduate Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"132","Graduate Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"133","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Average"
"134","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Above Average"
"135","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"136","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"137","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"138","Less Than High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"139","High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"140","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"141","Graduate Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Average"
"142","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"143","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"144","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"145","Associate / Junior College","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"146","Bachelors Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"147","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"148","Less Than High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"149","Less Than High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"150","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Average"
"151","Associate / Junior College","Very Dissatisfied","Upper Class","Not Satisfied at All","Average"
"152","Bachelors Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"153","Associate / Junior College","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"154","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"155","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"156","Associate / Junior College","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"157","High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"158","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Above Average"
"159","High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"160","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Average"
"161","High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"162","Graduate Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"163","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"164","Bachelors Degree","Very Satisfied","Upper Class","Not Satisfied at All","Average"
"165","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"166","Bachelors Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"167","Associate / Junior College","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"168","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"169","High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"170","High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"171","Bachelors Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"172","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Above Average"
"173","High School","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"174","Associate / Junior College","Moderately Satisfied","Working Class","More or Less Satisfied","Below Average"
"175","Less Than High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"176","Bachelors Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"177","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"178","Bachelors Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"179","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"180","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"181","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"182","High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Average"
"183","Associate / Junior College","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"184","Less Than High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"185","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"186","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"187","Less Than High School","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"188","Bachelors Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"189","Less Than High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"190","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"191","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"192","Less Than High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"193","High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"194","Less Than High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Average"
"195","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"196","Associate / Junior College","Very Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"197","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"198","High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"199","High School","Very Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"200","Bachelors Degree","Very Satisfied","Lower Class","More or Less Satisfied","Above Average"
"201","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"202","High School","Very Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"203","Less Than High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"204","High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"205","Associate / Junior College","A Little Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"206","Graduate Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"207","High School","Very Satisfied","Working Class","More or Less Satisfied","Average"
"208","Less Than High School","Moderately Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"209","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"210","Graduate Degree","Very Satisfied","Middle Class","Not Satisfied at All","Below Average"
"211","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Average"
"212","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"213","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"214","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Above Average"
"215","Graduate Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"216","High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"217","Graduate Degree","Very Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"218","Associate / Junior College","A Little Dissatisfied","Middle Class","More or Less Satisfied","Average"
"219","Bachelors Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Above Average"
"220","Graduate Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"221","Associate / Junior College","A Little Dissatisfied","Upper Class","Not Satisfied at All","Average"
"222","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Average"
"223","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"224","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"225","High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"226","Associate / Junior College","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"227","Bachelors Degree","Very Satisfied","Upper Class","Not Satisfied at All","Average"
"228","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"229","Bachelors Degree","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"230","Bachelors Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"231","High School","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"232","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"233","Graduate Degree","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"234","Associate / Junior College","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"235","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"236","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"237","High School","Very Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"238","Associate / Junior College","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"239","High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"240","Associate / Junior College","Moderately Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"241","Bachelors Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"242","Less Than High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Below Average"
"243","Less Than High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"244","High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"245","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"246","Associate / Junior College","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"247","Associate / Junior College","Very Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"248","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"249","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"250","Less Than High School","Very Satisfied","Working Class","More or Less Satisfied","Above Average"
"251","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Below Average"
"252","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"253","Associate / Junior College","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"254","Less Than High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Above Average"
"255","Associate / Junior College","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"256","Associate / Junior College","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"257","High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"258","Bachelors Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"259","Associate / Junior College","Very Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"260","Bachelors Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"261","Graduate Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"262","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"263","Less Than High School","Very Dissatisfied","Working Class","More or Less Satisfied","Far Above Average"
"264","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"265","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"266","Less Than High School","Very Satisfied","Working Class","More or Less Satisfied","Average"
"267","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"268","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"269","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"270","Associate / Junior College","Very Dissatisfied","Working Class","Not Satisfied at All","Average"
"271","Less Than High School","Very Satisfied","Working Class","Not Satisfied at All","Average"
"272","Bachelors Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"273","Graduate Degree","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"274","Graduate Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Average"
"275","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Average"
"276","High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"277","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"278","Graduate Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"279","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Average"
"280","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Average"
"281","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"282","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"283","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"284","High School","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"285","High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"286","Bachelors Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"287","High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Average"
"288","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"289","Less Than High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"290","Less Than High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"291","Bachelors Degree","Very Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"292","Less Than High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"293","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"294","High School","Very Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"295","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"296","Bachelors Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"297","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Above Average"
"298","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"299","Bachelors Degree","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"300","High School","Very Satisfied","Upper Class","More or Less Satisfied","Below Average"
"301","Less Than High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Average"
"302","Graduate Degree","Very Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"303","Graduate Degree","Very Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"304","High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"305","High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Average"
"306","High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"307","Bachelors Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"308","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"309","Less Than High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"310","High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"311","Graduate Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"312","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"313","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"314","Graduate Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"315","Less Than High School","Moderately Satisfied","Working Class","Not Satisfied at All","Below Average"
"316","Graduate Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"317","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"318","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"319","High School","Very Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"320","Associate / Junior College","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"321","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"322","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Average"
"323","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"324","Bachelors Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
